stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
42.281653,0,1587,-83.747196,723,,,N 4th Ave & E Huron,E- N Fourth Ave north of E Huron,0,
42.239328,0,1830,-83.62193,965,,,W Michigan Ave & W Ainsworth St,S- Michigan Ave. east of Ainsworth,0,
42.249792,0,1214,-83.655152,355,,,Washtenaw Ave & Boston Ave,N- Washtenaw Ave. opp Welman,0,
42.287731,0,2026,-83.707022,1160,,,2800 Glazier Way & Huron Pkwy,S- Glazier Way btw Beal and Huron,0,
42.249314,0,2766,-83.742064,1948,,,State St Park & Ride,Mid Lot North Side,0,
42.249162,0,2767,-83.742125,1949,,,State St Park & Ride,Mid Lot South Side,0,
42.268289,0,1533,-83.764433,669,,,Pauline Blvd & Meadowbrook Ave,N- Pauline west of Meadowbrook St.,0,
42.244992,0,1288,-83.668577,428,,,PACKARD ST & TORREY RD,S- Packard east of Torrey St.,0,
42.283042,0,2760,-83.738381,1942,,,N INGALLS ST & CATHERINE ST,E - N Ingalls & Catherine,0,
42.235814,0,2761,-83.733984,1943,,,RESEARCH PARK DR,N - Research Park Dr,0,
42.282471,0,2759,-83.787372,1941,,,JACKSON AVE & HIGHLAKE AVE,S - Jackson East of Highlake,0,
42.188514,0,2765,-83.738186,1947,,,S STATE RD & CAMPUS PKWY,Wal-Mart - Michigan Ave,0,
42.239929,0,2762,-83.748737,1944,,,Briarwood West & BRIARWOOD CIR,Briarwood - MC Sports,0,
42.247192,0,1203,-83.636822,344,,,Washtenaw Ave & N Mansfield St,S- Washtenaw Ave. east of Mansfield,0,
42.246628,0,1204,-83.632311,345,,,Washtenaw Ave & Roosevelt St,S- Washtenaw Ave opp Roosevelt,0,
42.245173,0,1205,-83.624257,346,,,Washtenaw Ave & N Summit St,S- Washtenaw Ave. east of Summit,0,
42.243672,0,1206,-83.620191,347,,,Washtenaw Ave & Perrin St,S- Washtenaw Ave. west of Perrin,0,
42.249687,0,1199,-83.655903,340,,,WASHTENAW AVE,S- Washtenaw Ave. west of Welman,0,
42.249036,0,1200,-83.650866,341,,,Washtenaw Ave & Brookside Road,S- Washtenaw Ave. east of  Brookside,0,
42.248468,0,1201,-83.646952,342,,,Washtenaw Ave & N Hewitt Road,S- Washtenaw Ave east of Hewitt Rd.,0,
42.247844,0,1202,-83.642072,343,,,Washtenaw Ave & Berkley Ave,S- Washtenaw Ave east of Berkeley,0,
42.287187,0,1675,-83.747983,810,,,N Main St & E Summit St,W- N Main St btw Summin,0,
42.284752,0,1676,-83.748396,811,,,N Main St & E Kingsley St,W- N Main St south of Kingsley,0,
42.279867,0,1065,-83.736995,813,,,FLETCHER ST & E WASHINGTON ST,E- Fletcher St. btw Washington -NU,0,
42.245829,0,1207,-83.618565,348,,,W Cross Ave & Ballard St,N- Cross St. east of Ballard St.,0,
42.246811,0,1208,-83.632537,349,,,Washtenaw Ave & Roosevelt St,N- Washtenaw Ave. west of Roosevelt,0,
42.276028,0,1681,-83.726889,816,,,Geddes Ave & Oxford Road,S- Geddes Ave. btw Linden and Oxfo,0,
42.275646,0,1682,-83.72508,817,,,Geddes Ave & S Nichols Dr,S- Geddes Ave. btw Oxford and Oswe,0,
42.237568,0,1829,-83.62532,964,,,W Michigan Ave & 1st Ave,S- Michigan Ave. east of First,0,
42.271996,0,2656,-83.741718,1799,,,Packard St & Hill St,E- Packard north of Hill,0,
42.271701,0,2655,-83.741522,1798,,,Packard St & Hill St,W- Packard south of Hill,0,
42.232225,0,2116,-83.635955,1250,,,W Michigan Ave & Ellsworth Road,N- Michigan Ave. at Meadow Woods Blvd,0,
42.281682,0,1583,-83.757946,719,,,W Huron & S 7th St,S- W Huron east of Seventh St.,0,
42.281766,0,1582,-83.760616,718,,,W Huron & 9th St,S- W Huron east of Ninth St.,0,
42.281916,0,1581,-83.764473,717,,,W Huron & Crest Ave,S- W Huron btw Revena and Crest,0,
42.281778,0,1580,-83.766853,716,,,Jackson Ave & Kenwood Ave,S- Jackson Rd. west of Kenwood,0,
42.281085,0,1579,-83.772748,715,,,Jackson Ave & Grandview Dr,S- Jackson Rd. opp Grandview,0,
42.280933,0,1578,-83.774221,714,,,Jackson Ave & Glendale St,S- Jackson Rd. Hillside Terrace.,0,
42.280925,0,1577,-83.774349,713,,,Jackson Ave & Pleasant Pl,S- Jackson Rd. east of Pleasant St.,0,
42.280662,0,1576,-83.776821,712,,,Jackson Ave & Burwood Ave,S- Jackson Rd. east of Burwood,0,
42.280472,0,1575,-83.778931,711,,,Jackson Ave & Collingwood Ave,S- Jackson Rd. east of Maple,0,
42.280837,0,1574,-83.781884,710,,,Jackson Road & S Maple Road,S- Jackson Rd. at Westgate,0,
42.234782,0,1281,-83.680038,421,,,3811 Carpenter Road & Coachville Cir,E- Carpenter South of Center Valley,0,
42.313966,0,2378,-83.772447,1492,,,Rudolf Steiner & Newport Road,Rudolf Steiner School,0,
42.246081,0,2379,-83.605952,1493,,,E Cross Ave & N Park St,N- Cross St. opp N. Park (at,0,
42.232949,0,1280,-83.678155,420,,,UNNAMED ST,Meijer store on Carpenter Rd.,0,
42.253142,0,2384,-83.698911,1498,,,2384 Huron Pkwy & Canterbury St,E- Huron Parkway at 2395 Huron Prky,0,
42.231054,0,2385,-83.597095,1499,,,SERVICE DR & EMERICK ST,S- Service Dr. east of Emerick,0,
42.241157,0,1283,-83.680271,423,,,Carpenter Road & Green Meadows Blvd,E- Carpenter north of Ridgewood,0,
42.230602,0,1826,-83.641812,961,,,Ellsworth Road & Ardis Dr,S- Ellsworth opposite Ardis,0,
42.263862,0,1933,-83.592751,1068,,,Mac Arthur Blvd & Heather Dr,E- MacArthur Blvd. south of Heather,0,
42.317076,0,2564,-83.71313,1704,,,DHU VARREN RD & N FOXRIDGE CT,S - Dhu Varren East at Foxridge Ct,0,
42.317214,0,2565,-83.707806,1705,,,DHU VARREN RD & NIXON RD,S - Dhu Varren at Nixon,0,
42.317219,0,2567,-83.713509,1707,,,DHU VARREN RD & N FOXRIDGE CT,N - Dhu Varren south of Foxridge Ct,0,
42.294988,0,2569,-83.692897,1709,,,Hubbard St & Green Road,N-Hubbard 80ft west of Green Rd,0,
42.261467,0,1932,-83.594069,1067,,,Mac Arthur Blvd & E Clark Road,E- MacArthur Blvd. north of Clark,0,
42.24366,0,1284,-83.680339,424,,,Carpenter Road & Packard Road,E- Carpenter Rd. betw Green Meadows,0,
42.268087,0,1535,-83.770285,671,,,Pauline Blvd & Virnankay Cir,N- Pauline at Virnankay,0,
42.245188,0,1287,-83.673043,427,,,Packard Road & Oakdale Dr,S- Packard op Oakdale Ever Green Ap,0,
42.237611,0,2815,-83.612916,1998,,,S HURON ST & CATHERINE ST,E-Huron north of Catherine,0,
42.241281,0,2524,-83.581142,1666,,,RUSSELL ST & S HARRIS RD,N- Russel St W of Ford Blvd,0,
42.259518,0,1152,-83.64504,294,,,Huron River Dr & East Access,N- Huron River Dr. opp Westview,0,
42.21751,0,2522,-83.562378,1664,,,MCCARTNEY AVE & LAKEVIEW AVE,E- McCartney N of Lakeview,0,
42.256966,0,1150,-83.635038,292,,,Huron River Dr & Cornell Road,N- Huron River Dr. west of Cornell,0,
42.257621,0,1151,-83.638954,293,,,Huron River Dr & Superior Road,N- Huron River Dr west of Superior,0,
42.213714,0,2518,-83.548104,1660,,,GROVE ST & MARGERY ST,N- Grove W of Margery,0,
42.244546,0,1454,-83.756404,591,,,W Eisenhower Pkwy & W Eisenhower Cir,S- W Eisenhower Pkw east of Wes,0,
42.243406,0,1456,-83.750705,593,,,W Eisenhower Pkwy & S Main St,S- Eisenhower Pkw West of South Ma,0,
42.244278,0,1458,-83.7293,595,,,E EISENHOWER PKWY,S- Eisenhower Pkwy east of South In,0,
42.304507,0,1052,-83.692787,198,,,Green Road & Plymouth Ann Arbor Road,W- Green Rd. south of Plymouth Rd.,0,
42.245105,0,1460,-83.724849,597,,,E Eisenhower Pkwy & King George Blvd,S- Eisenhower Pkwy east of King Geo,0,
42.244875,0,1459,-83.72664,596,,,E Eisenhower Pkwy & Hayes Ct,S- Eisenhower Pkwy west of Hayes Co,0,
42.302591,0,1049,-83.702226,195,,,Plymouth Ann Arbor Road & Prairie St,S- Plymouth Rd opposite Prairie St.,0,
42.30412,0,1048,-83.707147,194,,,NIXON RD & PLYMOUTH RD,E- Nixon Rd. at Ply Mall,0,
